epoch,train_seg_loss,val_seg_loss
1,2.49197,1.7479
2,1.90031,1.65588
3,1.8439,1.63066
4,1.7622,1.60875
5,1.70657,1.54626
6,1.68937,1.57646
7,1.609,1.46464
8,1.61755,1.47866
9,1.57014,1.46538
10,1.54354,1.49355
11,1.56586,1.44125
12,1.50657,1.44463
13,1.48998,1.44394
14,1.50141,1.44127
15,1.46119,1.46617
16,1.43602,1.44501
17,1.46047,1.46265
18,1.42972,1.42003
19,1.41342,1.49622
20,1.42232,1.38747
21,1.40277,1.38892
22,1.39697,1.42187
23,1.3792,1.3957
24,1.3472,1.41511
25,1.37597,1.43287
26,1.33271,1.37192
27,1.3339,1.40314
28,1.32352,1.41194
29,1.35004,1.39975
30,1.33077,1.42384
31,1.32371,1.42779
32,1.28254,1.41486
33,1.36611,1.4133
34,1.29639,1.34702
35,1.28338,1.38672
36,1.28798,1.42627
37,1.2934,1.38152
38,1.26749,1.40842
39,1.24215,1.39246
40,1.27101,1.47261
41,1.27688,1.38303
42,1.2591,1.38211
43,1.23913,1.37682
44,1.23385,1.3914
45,1.21347,1.38721
46,1.18732,1.39537
47,1.19029,1.39941
48,1.23884,1.38712
49,1.2028,1.38577
50,1.19131,1.38525
51,1.22413,1.38456
52,1.1805,1.39371
53,1.23091,1.38995
54,1.18434,1.40468
55,1.1562,1.40591
56,1.15139,1.39393
57,1.175,1.41326
58,1.17414,1.36958
59,1.16935,1.38882
60,1.18275,1.40156
61,1.16982,1.39455
62,1.13694,1.40696
63,1.16856,1.38161
64,1.12485,1.41338
65,1.12565,1.3945
66,1.13685,1.35866
67,1.15021,1.39387
68,1.12583,1.40285
69,1.15385,1.42784
70,1.13634,1.4251
71,1.10254,1.37902
72,1.09766,1.46914
73,1.12316,1.37993
74,1.1157,1.40648
75,1.12822,1.45903
76,1.1161,1.39902
77,1.09098,1.41317
78,1.10691,1.38195
79,1.10111,1.42077
80,1.07555,1.42801
81,1.06387,1.39747
82,1.09856,1.3967
83,1.0671,1.3967
84,1.11569,1.39343
85,1.11123,1.38711
86,1.0667,1.40134
87,1.09208,1.40301
88,1.10004,1.41709
89,1.05864,1.41206
90,1.07198,1.39572
91,1.05546,1.41823
92,1.07535,1.43799
93,1.0487,1.41576
94,1.04512,1.3966
95,1.05588,1.41795
96,1.08043,1.4078
97,1.04326,1.40134
98,1.08592,1.41801
99,1.05236,1.41914
100,1.03699,1.40004
101,1.04742,1.40681
102,1.04646,1.40436
103,1.03519,1.40922
104,1.04264,1.37977
105,1.04305,1.37983
106,1.02636,1.40623
107,1.0284,1.40448
108,1.02563,1.40476
109,1.02305,1.4114
110,1.0168,1.38421
111,1.0199,1.41777
112,1.03136,1.41764
113,1.01397,1.43153
114,1.00208,1.40149
115,1.04461,1.40191
116,1.00155,1.40285
117,1.0112,1.4181
118,1.01316,1.41712
119,1.01868,1.42707
120,1.01054,1.41239
121,0.99987,1.39911
122,0.99865,1.41345
123,0.99828,1.4144
124,0.98697,1.42071
125,0.99465,1.41118
126,1.00978,1.41133
127,0.99562,1.42484
128,0.9901,1.40567
129,1.00199,1.42132
130,0.99745,1.41794
131,0.97695,1.41031
132,1.00837,1.39908
133,0.98918,1.40574
134,0.97984,1.41237
135,0.98924,1.41448
136,0.97505,1.43173
137,0.95096,1.41846
138,0.96817,1.40829
139,0.98237,1.40929
140,0.97576,1.40902
141,0.91861,1.48018
142,0.88883,1.45023
143,0.8811,1.44825
144,0.86418,1.44678
145,0.83446,1.45285
146,0.84969,1.45379
147,0.84609,1.45332
148,0.84784,1.46025
149,0.83871,1.44784
150,0.83054,1.4512
