epoch,train_seg_loss,val_seg_loss
1,1.98778,1.75911
2,1.96584,1.95344
3,2.01084,1.82624
4,1.93115,1.71728
5,1.8861,1.81409
6,1.84226,1.64255
7,1.82475,1.65629
8,1.7847,1.63159
9,1.72332,1.50939
10,1.65786,1.57965
11,1.64666,1.49374
12,1.61094,1.56533
13,1.6049,1.50323
14,1.58519,1.4441
15,1.5501,1.4466
16,1.51841,1.43762
17,1.47347,1.43209
18,1.45489,1.42292
19,1.44433,1.45816
20,1.42951,1.38909
21,1.42674,1.4315
22,1.39583,1.33513
23,1.3857,1.39726
24,1.38734,1.36276
25,1.35651,1.34654
26,1.3541,1.37665
27,1.32775,1.39167
28,1.3317,1.35948
29,1.26472,1.38132
30,1.34723,1.35354
31,1.29864,1.33456
32,1.26817,1.32301
33,1.27718,1.35071
34,1.2855,1.32402
35,1.24411,1.30963
36,1.22637,1.31625
37,1.23524,1.31037
38,1.20368,1.29588
39,1.23116,1.33196
40,1.21704,1.2724
41,1.21495,1.31941
42,1.21547,1.28741
43,1.16298,1.30307
44,1.15818,1.31891
45,1.15355,1.29567
46,1.16839,1.30511
47,1.12938,1.31489
48,1.15837,1.33072
49,1.14138,1.28248
50,1.10169,1.2918
51,1.13691,1.31188
52,1.12494,1.32982
53,1.10017,1.30527
54,1.09702,1.26408
55,1.08242,1.25585
56,1.05862,1.33538
57,1.08607,1.25163
58,1.06443,1.32169
59,1.06618,1.27396
60,1.08509,1.28804
61,1.0451,1.33222
62,1.05156,1.3415
63,1.04883,1.32823
64,1.04985,1.27452
65,1.02281,1.29221
66,1.03708,1.29222
67,1.02687,1.27783
68,1.02128,1.31302
69,1.04518,1.29925
70,1.02609,1.23843
71,0.99091,1.28953
72,1.00486,1.28479
73,0.98863,1.30095
74,1.01814,1.3073
75,0.99668,1.27096
76,0.99789,1.31641
77,0.97017,1.30154
78,0.97105,1.2951
79,1.0107,1.33279
80,0.96073,1.30772
81,0.97308,1.33231
82,0.98985,1.283
83,0.94897,1.29129
84,0.96359,1.27811
85,0.95866,1.27566
86,0.95664,1.29149
87,0.95377,1.28698
88,0.94187,1.28435
89,0.91196,1.32179
90,0.95913,1.29997
91,0.92537,1.28295
92,0.91757,1.29815
93,0.92977,1.36768
94,0.9255,1.29545
95,0.90625,1.36127
96,0.91345,1.3773
97,0.90763,1.31819
98,0.93136,1.29542
99,0.9219,1.29405
100,0.8812,1.32668
101,0.88079,1.27993
102,0.87542,1.34436
103,0.89215,1.34164
104,0.89713,1.30502
105,0.87448,1.32187
106,0.88117,1.32094
107,0.89005,1.30514
108,0.88032,1.30707
109,0.85836,1.26663
110,0.84565,1.32815
111,0.85462,1.2906
112,0.87064,1.29851
113,0.86601,1.3345
114,0.85617,1.30508
115,0.86653,1.28046
116,0.857,1.38271
117,0.84459,1.34256
118,0.86499,1.34142
119,0.85792,1.29769
120,0.83644,1.30515
121,0.84667,1.3464
122,0.87156,1.34653
123,0.82891,1.32891
124,0.84371,1.33874
125,0.85514,1.34507
126,0.8786,1.35832
127,0.84016,1.38177
128,0.85698,1.31794
129,0.82665,1.3266
130,0.83418,1.27385
131,0.82151,1.32761
132,0.82164,1.36766
133,0.79748,1.3739
134,0.80163,1.35971
135,0.82281,1.31656
136,0.81186,1.33847
137,0.80546,1.29456
138,0.77523,1.33835
139,0.80481,1.31399
140,0.80381,1.31546
141,0.79711,1.29669
142,0.79887,1.37522
143,0.80398,1.41305
144,0.79304,1.37157
145,0.78402,1.39982
146,0.79072,1.32155
147,0.80249,1.34262
148,0.78897,1.34811
149,0.79577,1.30085
150,0.79315,1.31157
151,0.78264,1.34568
152,0.7432,1.3654
